model	R2_case	F_case	p_case
case (naive)	0.010620867144176958	1.1593671358927533	0.283
case | study (strata)	0.010620867144176958	1.1593671358927533	0.427
study + case (adjusted)	0.012022021185098777	1.8355133638779142	0.105
