Genus_silva	Genus_ehomd	n_asvs
TX1A-55	Moraxella	2
Tropheryma	Microbacterium	2
Tumebacillus	Paenibacillus	2
UCG-002	Clostridiales [F3 G1]	2
UCG-004	Erysipelothrix	2
UCG-005	Corynebacterium	2
UCG-009	Clostridiales [F3 G1]	2
UCG-010	Lachnospiraceae [G2]	2
Veillonella	Leptotrichia	2
Veillonella	Megasphaera	2
Veillonella	Solobacterium	2
Veillonella	Streptococcus	2
Veillonellaceae_UCG-001	Selenomonas	2
Vicinamibacteraceae	Corynebacterium	2
Williamwhitmania	Pedobacter	2
Wolinella	Campylobacter	2
Yaniella	Kocuria	2
Zeaxanthinibacter	Riemerella	2
[Anaerorhabdus]_furcosa_group	Erysipelothrix	2
[Bacteroides]_pectinophilus_group	Lachnospiraceae [G7]	2
[Eubacterium]_brachy_group	Anaerovoracaceae [G8]	2
[Eubacterium]_ruminantium_group	Lachnospiraceae [G10]	2
[Eubacterium]_siraeum_group	Selenomonas	2
[Eubacterium]_ventriosum_group	Lachnospiraceae [G2]	2
[Ruminococcus]_gauvreauii_group	Stomatobaculum	2
[Ruminococcus]_torques_group	Butyrivibrio	2
alphaI_cluster	Mesorhizobium	2
bacteriap25	Aggregatibacter	2
bacteriap25	Clostridiales [F3 G1]	2
bacteriap25	Desulfomicrobium	2
endosymbionts	Pseudomonas	2
uncultured	Enterococcus	2
uncultured	Erysipelothrix	2
uncultured	Faecalibacterium	2
uncultured	Fretibacterium	2
uncultured	Hallella	2
uncultured	Odoribacteraceae [G3]	2
uncultured	Ralstonia	2
uncultured	Serratia	2
uncultured	Streptococcus	2
0319-6G20	Bdellovibrio	1
0319-6G20	Desulfovibrio	1
0319-7L14	Arsenicicoccus	1
1-20	Caldilinea	1
11-24	Alloprevotella	1
1921-2	Clostridiales [F1 G2]	1
1921-3	Fretibacterium	1
37-13	Flavitalea	1
3PJM14	Pseudomonas	1
67-14	Olsenella	1
A2	Lachnospiraceae [G7]	1
A4b	Clostridiales [F3 G1]	1
AB1	Haematobacter	1
AKAU4049	Veillonella	1
AKYG1722	Streptococcus	1
Acetatifactor	Stomatobaculum	1
Acetitomaculum	Stomatobaculum	1
Acetobacteroides	Odoribacteraceae [G3]	1
Acidaminococcus	Gemella	1
Acidibacter	Anaerovoracaceae [G3]	1
Acidiphilium	Roseomonas	1
Acidothermus	Actinomyces	1
Actibacterium	Haematobacter	1
Actinobacillus	Aggregatibacter	1
Actinobacillus	Streptococcus	1
Actinocorallia	Kocuria	1
Actinomycetospora	Mycobacterium	1
Adhaeribacter	Porphyromonas	1
Adhaeribacter	Prevotella	1
Aequorivita	Capnocytophaga	1
Aequorivita	Chryseobacterium	1
Aerosphaera	Abiotrophia	1
Aestuariicella	Pseudomonas	1
Afifella	Haematobacter	1
Agathobacter	Butyrivibrio	1
Aggregatibacter	Cardiobacterium	1
Aggregatibacter	Lachnospiraceae [G3]	1
Aggregatibacter	Parvimonas	1
Aggregatibacter	Porphyromonas	1
Aggregatibacter	Selenomonas	1
Aggregatibacter	Treponema	1
Ahniella	Stenotrophomonas	1
Aliihoeflea	Aquamicrobium	1
Alistipes	Porphyromonas	1
Alkaliphilus	Anaerovoracaceae [G3]	1
Allobaculum	Erysipelotrichaceae [G1]	1
Alloprevotella	Capnocytophaga	1
Alloprevotella	Schaalia	1
Alysiella	Neisseria	1
Aminivibrio	Fretibacterium	1
Amphiplicatus	Leptothrix	1
Amycolatopsis	Kocuria	1
Amycolatopsis	Mycobacterium	1
Anaerofustis	Pseudoramibacter	1
Anaeroglobus	Dialister	1
Anaerosalibacter	Peptoniphilaceae [G2]	1
Anaerovorax	Anaerovoracaceae [G4]	1
Anaerovorax	Anaerovoracaceae [G5]	1
Ancalomicrobium	Afipia	1
Aneurinibacillus	Paenibacillus	1
Anoxybacillus	Gemella	1
Antarcticibacterium	Riemerella	1
Aquibacillus	Bacillus	1
Aquicella	Acinetobacter	1
Aquimonas	Pseudomonas	1
Arctic95B-14	Abiotrophia	1
Arcticibacter	Pedobacter	1
Armatimonadales	Kocuria	1
Asticcacaulis	Caulobacter	1
Atopobium	Fannyhessea	1
Atopostipes	Gemella	1
Aurantimicrobium	Microbacterium	1
Aureimonas	Mesorhizobium	1
Azohydromonas	Schlegelella	1
Azonexus	Oryzomicrobium	1
Azospirillum	Caulobacter	1
Azospirillum	Roseomonas	1
B12-WMSP1	Clostridiales [F1 G2]	1
BD2-11_terrestrial_group	Ignavibacterium	1
BD2-11_terrestrial_group	Oryzomicrobium	1
BIrii41	Corynebacterium	1
BIrii41	Desulfomicrobium	1
BIyi10	Pseudomonas	1
BSV26	Ignavibacterium	1
Bacillus	Megasphaera	1
Bacillus	Treponema	1
Bacillus	Veillonella	1
Bacteroidales_BS11_gut_group	Pedobacter	1
Bacteroidales_UCG-001	Prevotella	1
Bacteroidales_UCG-001	Segatella	1
Bacteroides	Alistipes	1
Bacteroides	Catonella	1
Bacteroidetes_vadinHA17	Prevotella	1
Bacteroidetes_vadinHA17	Tannerella	1
Balneola	Neisseria	1
Blautia	Lachnospiraceae [G2]	1
Blfdi19	Lancefieldella	1
Bombella	Roseomonas	1
Brachymonas	Leptothrix	1
Bradymonadales	Desulfovibrio	1
Bradymonadales	Haematobacter	1
Bryobacter	Peptoniphilaceae [G2]	1
Butyricicoccus	Aggregatibacter	1
Butyricicoccus	Clostridiales [F3 G1]	1
Butyricimonas	Aggregatibacter	1
Butyricimonas	Odoribacteraceae [G7]	1
Butyrivibrio	Lachnospiraceae [G2]	1
C0119	Caldilinea	1
C0119	Gemella	1
C10-SB1A	Caldilinea	1
CAG-352	Schaalia	1
CCM19a	Moraxella	1
CPR2	Nanosynbacter	1
Caenimonas	Delftia	1
Caldilineaceae	Caldilinea	1
Candidatus_Alysiosphaera	Novosphingobium	1
Candidatus_Amoebophilus	Pedobacter	1
Candidatus_Bacilloplasma	Streptococcus	1
Candidatus_Entotheonella	Dialister	1
Candidatus_Jidaibacter	Afipia	1
Candidatus_Kaiserbacteria	Treponema	1
Candidatus_Omnitrophus	Selenomonas	1
Candidatus_Soleaferrea	Alloprevotella	1
Candidatus_Soleaferrea	Hominimerdicola	1
Candidatus_Solibacter	Afipia	1
Candidatus_Solibacter	Lachnospiraceae [G7]	1
Candidatus_Stoquefichus	Selenomonas	1
Candidatus_Tammella	Fretibacterium	1
Candidatus_Tenderia	Pseudomonas	1
Candidatus_Xiphinematobacter	Clostridiales [F1 G2]	1
Candidimonas	Ralstonia	1
Capnocytophaga	Neisseria	1
Capnocytophaga	Weeksellaceae [G1]	1
Catenulispora	Kytococcus	1
Chelativorans	Aquamicrobium	1
Chitinophaga	Flavitalea	1
Chitinophagaceae	Flavitalea	1
Chloroplast	Aggregatibacter	1
Chloroplast	Pseudomonas	1
Chloroplast	Selenomonas	1
Chloroplast	Stenotrophomonas	1
Chloroplast	Streptococcus	1
Christensenellaceae_R-7_group	Anaerovoracaceae [G1]	1
Christensenellaceae_R-7_group	Anaerovoracaceae [G8]	1
Chryseobacterium	Capnocytophaga	1
Chryseobacterium	Riemerella	1
Chthoniobacter	Akkermansia	1
Clostridia_UCG-014	Aggregatibacter	1
Clostridia_UCG-014	Streptococcus	1
Clostridia_vadinBB60_group	Clostridiales [F3 G1]	1
Clostridia_vadinBB60_group	Peptococcus	1
Clostridium_sensu_stricto_1	Neisseria	1
Clostridium_sensu_stricto_10	Clostridiales [F3 G1]	1
Clostridium_sensu_stricto_6	Clostridiales [F3 G1]	1
Cm1-21	Moraxella	1
Collinsella	Pseudoleptotrichia	1
Comamonas	Acidovorax	1
Comamonas	Paenacidovorax	1
Comamonas	Schlegelella	1
Conchiformibius	Neisseria	1
Confluentibacter	Pedobacter	1
Constrictibacter	Roseomonas	1
Coprobacillus	Eggerthia	1
Corynebacterium	Gemella	1
Coxiella	Cardiobacterium	1
Coxiella	Moraxella	1
Croceicoccus	Novosphingobium	1
Crocinitomix	Capnocytophaga	1
Curtobacterium	Microbacterium	1
Cycloclasticus	Pseudomonas	1
Cytophaga	Flavitalea	1
DSSD61	Oryzomicrobium	1
Defluviimonas	Paracoccus	1
Dermatophilaceae	Kytococcus	1
Desulfofaba	Aggregatibacter	1
Desulfoplanes	Desulfomicrobium	1
Desulfosporosinus	Ralstonia	1
Dialister	Veillonella	1
Diaphorobacter	Acidovorax	1
Dokdonella	Fusobacterium	1
Dongia	Fusobacterium	1
Dubosiella	Abiotrophia	1
Dubosiella	Enterococcus	1
Dysgonomonas	Porphyromonas	1
EC3	Moraxella	1
Edaphobaculum	Segetibacter	1
Eel-36e1D6	Haematobacter	1
Elizabethkingia	Weeksellaceae [G1]	1
Ellin6067	Ralstonia	1
Elusimicrobium	Anaerovoracaceae [G3]	1
Empedobacter	Weeksellaceae [G1]	1
Endobacter	Roseomonas	1
Endomicrobium	Caldilinea	1
Enterorhabdus	Lancefieldella	1
Entotheonellaceae	Ruminococcaceae [G2]	1
Entotheonellaceae	Solobacterium	1
Erysipelatoclostridiaceae	Eggerthia	1
Erysipelatoclostridium	Anaerovoracaceae [G1]	1
Erysipelotrichaceae_UCG-002	Eggerthia	1
Erysipelotrichaceae_UCG-003	Eggerthia	1
Erysipelotrichaceae_UCG-009	Erysipelotrichaceae [G1]	1
Escherichia-Shigella	Fusobacterium	1
Escherichia-Shigella	Metamycoplasma	1
Euzebya	Kocuria	1
Exiguobacterium	Enterococcus	1
Ezakiella	Peptoniphilaceae [G2]	1
F0058	Capnocytophaga	1
F0058	Leptotrichia	1
F0332	Actinomyces	1
FW22	Caldilinea	1
Faecalibacterium	Alloprevotella	1
Faecalibacterium	Catonella	1
Faecalibaculum	Lautropia	1
Faecalibaculum	Limosilactobacillus	1
Faecalibaculum	Solobacterium	1
Faecalibaculum	Streptococcus	1
Faecalitalea	Erysipelothrix	1
Family_XIII_AD3011_group	Anaerovoracaceae [G5]	1
Fermentimonas	Pedobacter	1
Fermentimonas	Tannerella	1
Fictibacillus	Abiotrophia	1
Filimonas	Flavitalea	1
Filimonas	Segetibacter	1
Flaviaesturariibacter	Segetibacter	1
Flavitalea	Segetibacter	1
Flavobacterium	Pedobacter	1
Flavobacterium	Porphyromonas	1
Flavonifractor	Ruminococcaceae [G3]	1
Fonticella	Clostridiales [F3 G1]	1
Frisingicoccus	Lachnospiraceae [G2]	1
Fusibacter	Anaerovoracaceae [G3]	1
Fusicatenibacter	Fusobacterium	1
Fusobacterium	Pseudoleptotrichia	1
Gaiella	Clostridiales [F3 G1]	1
Galbitalea	Microbacterium	1
Gastranaerophilales	Anaerovoracaceae [G2]	1
Gastranaerophilales	Gemella	1
Gastranaerophilales	Mogibacterium	1
Gastranaerophilales	Streptococcus	1
Gemella	Nanogingivalis	1
Geminocystis_PCC-6308	Arthrospira	1
Gemmatimonas	Gemella	1
Gemmatimonas	Porphyromonas	1
Geothermobacter	Haematobacter	1
Gitt-GS-136	Clostridiales [F3 G1]	1
Gitt-GS-136	Neisseria	1
Globicatella	Enterococcus	1
Gordonia	Dietzia	1
Gracilibacillus	Bacillus	1
Gracilibacillus	Paenibacillus	1
Gracilibacter	Clostridiales [F3 G1]	1
Granulicatella	Alloprevotella	1
Granulicatella	Neisseria	1
Granulicatella	Porphyromonas	1
HAVOmat113	Arthrospira	1
HOC36	Leptothrix	1
HSB_OF53-F07	Fretibacterium	1
Haemophilus	Selenomonas	1
Haemophilus	Streptococcus	1
Hafnia-Obesumbacterium	Kluyvera	1
Halarcobacter	Campylobacter	1
Haliea	Aggregatibacter	1
Halobacillus	Abiotrophia	1
Halomonas	Haematobacter	1
Hamadaea	Kocuria	1
Helcococcus	Anaerococcus	1
Helicobacter	Alistipes	1
Heliimonas	Segetibacter	1
Herbaspirillum	Streptococcus	1
Hoppeia	Pedobacter	1
Hoppeia	Riemerella	1
Hydrogenedensaceae	Anaerovoracaceae [G2]	1
Hydrogenedensaceae	Erythrobacter	1
Hydrogenophilus	Leptothrix	1
Hymenobacter	Pedobacter	1
IMCC26256	Actinomyces	1
IMCC26256	Mycobacterium	1
Iamia	Lancefieldella	1
Ideonella	Leptothrix	1
Ideonella	Schlegelella	1
Ignavibacteriales	Ignavibacterium	1
Ileibacterium	Pseudoleptotrichia	1
Incertae_Sedis	Peptoanaerobacter	1
Incertae_Sedis	Peptoniphilaceae [G2]	1
Inquilinus	Enhydrobacter	1
Insolitispirillum	Aquamicrobium	1
Intestinimonas	Clostridiales [F3 G1]	1
Intestinimonas	Fastidiosipila	1
Isoptericola	Cellulosimicrobium	1
JG30-KF-AS9	Dialister	1
JG30-KF-AS9	Schlegelella	1
JG30-KF-CM45	Neisseria	1
JG30-KF-CM45	Streptococcus	1
JG30-KF-CM66	Clostridiales [F1 G2]	1
JG30-KF-CM66	Selenomonas	1
JG30-KF-CM66	Streptococcus	1
JG30a-KF-32	Pseudoramibacter	1
JG36-GS-52	Cardiobacterium	1
JTB255_marine_benthic_group	Cardiobacterium	1
Kaistia	Aquamicrobium	1
Ketobacter	Pseudomonas	1
Kiloniella	Aquamicrobium	1
Kineosporia	Kocuria	1
Kingella	Simonsiella	1
Kitasatospora	Kocuria	1
Kosakonia	Cronobacter	1
Krasilnikovia	Mycobacterium	1
Kribbella	Propionibacteriaceae [G1]	1
Kushneria	Moraxella	1
Kutzneria	Kocuria	1
LWQ8	Saccharimonadales [F1 G1]	1
Labrys	Afipia	1
Labrys	Mesorhizobium	1
Lachnoanaerobaculum	Selenomonas	1
Lachnoanaerobaculum	Stomatobaculum	1
Lachnospiraceae_FCS020_group	Stomatobaculum	1
Lachnospiraceae_NC2004_group	Agathobacter	1
Lachnospiraceae_NC2004_group	Clostridiales [F3 G1]	1
Lachnospiraceae_NC2004_group	Hominimerdicola	1
Lachnospiraceae_NC2004_group	Ruminococcaceae [G2]	1
Lachnospiraceae_NK3A20_group	Absconditicoccaceae [G1]	1
Lachnospiraceae_NK3A20_group	Lachnoanaerobaculum	1
Lachnospiraceae_UCG-001	Agathobacter	1
Lachnospiraceae_UCG-001	Lachnospiraceae [G10]	1
Lachnospiraceae_UCG-001	Lachnospiraceae [G2]	1
Lachnospiraceae_UCG-004	Catonella	1
Lachnospiraceae_UCG-004	Hoylesella	1
Lachnospiraceae_UCG-004	Lachnoanaerobaculum	1
Lachnospiraceae_UCG-004	Segatella	1
Lachnospiraceae_UCG-009	Lachnospiraceae [G2]	1
Lacticigenium	Enterococcus	1
Lactobacillus	Campylobacter	1
Lactobacillus	Gemella	1
Lactobacillus	Veillonella	1
Lactococcus	Streptococcus	1
Leadbetterella	Pedobacter	1
Leifsonia	Microbacterium	1
Leptolyngbya_Es-Yyy1000	Arthrospira	1
Limnobacter	Ralstonia	1
Lineage_IIb	Pseudomonas	1
Longimicrobiaceae	Erythrobacter	1
Longimycelium	Kocuria	1
Luteibacter	Pseudomonas	1
Luteibacter	Ralstonia	1
Luteimonas	Neisseria	1
Lysinibacillus	Enterococcus	1
Lysobacter	Neisseria	1
Lysobacter	Ralstonia	1
MB-A2-108	Corynebacterium	1
MB-A2-108	Cryptobacterium	1
MM1	Oryzomicrobium	1
MND1	Kingella	1
MND1	Leptothrix	1
MND1	Neisseria	1
MND1	Prevotella	1
MSB-1D1	Moraxella	1
MWH-CFBk5	Pedobacter	1
Mangrovibacter	Kluyvera	1
Marine_Methylotrophic_Group_2	Moraxella	1
Marinicaulis	Aquamicrobium	1
Marinomonas	Pseudomonas	1
Marmoricola	Mycobacterium	1
Marvinbryantia	Butyrivibrio	1
Marvinbryantia	Lachnospiraceae [G2]	1
Massilia	Paenacidovorax	1
Megamonas	Selenomonadaceae [G1]	1
Megasphaera	Treponema	1
Megasphaera	Veillonella	1
Mesorhizobium	Brucella	1
Methanosphaera	Methanobrevibacter	1
Methylobacterium-Methylorubrum	Caulobacter	1
Methylobacterium-Methylorubrum	Enhydrobacter	1
Methylobacterium-Methylorubrum	Ralstonia	1
Methyloligellaceae	Haematobacter	1
Methylophaga	Moraxella	1
Methylophilus	Kingella	1
Microcoleus_PCC-7113	Arthrospira	1
Micropruina	Cutibacterium	1
Monoglobus	Megasphaera	1
Moraxella	Treponema	1
Morganella	Proteus	1
Mucispirillum	Anaerovoracaceae [G2]	1
Murdochiella	Peptoniphilaceae [G2]	1
Muribaculaceae	Catonella	1
Muribaculaceae	Neisseria	1
Muribaculaceae	Ruminococcaceae [G2]	1
Muribaculaceae	Streptococcus	1
Muribaculum	Porphyromonas	1
Mycoplasma	Limosilactobacillus	1
Myxococcaceae	Streptococcus	1
NB1-j	Desulfomicrobium	1
NK4A214_group	Pseudoleptotrichia	1
NK4A214_group	Treponema	1
NS9_marine_group	Pedobacter	1
Nannocystis	Desulfovibrio	1
Nannocystis	Neisseria	1
Nannocystis	Selenomonas	1
Neisseria	Alloprevotella	1
Neisseria	Treponema	1
Nevskia	Acinetobacter	1
Niabella	Segetibacter	1
Nibribacter	Pedobacter	1
Nitrospira	Aggregatibacter	1
Nitrospira	Clostridiales [F3 G1]	1
Niveibacterium	Oryzomicrobium	1
Nocardioides	Neisseria	1
Nocardioides	Streptococcus	1
Nodosilinea_PCC-7104	Arthrospira	1
Nordella	Afipia	1
Nordella	Mesorhizobium	1
Nosocomiicoccus	Staphylococcus	1
Nostocaceae	Arthrospira	1
Nubsella	Pedobacter	1
OM182_clade	Pseudomonas	1
OM190	Desulfovibrio	1
OM27_clade	Catonella	1
OM60(NOR5)_clade	Aggregatibacter	1
Obscuribacteraceae	Selenomonadaceae [G1]	1
Oceanicella	Haematobacter	1
Oceanisphaera	Serratia	1
Oceanobacillus	Abiotrophia	1
Oceanobacillus	Bacillus	1
Oceanococcus	Moraxella	1
Ochrobactrum	Proteus	1
Ochrobactrum	Ralstonia	1
Omnitrophales	Haematobacter	1
Oribacterium	Stomatobaculum	1
Ornithinicoccus	Kocuria	1
Ornithinimicrobium	Kytococcus	1
Oscillibacter	Prevotella	1
Oscillibacter	Ruminococcaceae [G3]	1
Oscillospira	Clostridiales [F3 G1]	1
Owenweeksia	Pedobacter	1
Oxobacter	Clostridiales [F3 G1]	1
P5D1-392	Abiotrophia	1
P5D1-392	Campylobacter	1
P5D1-392	Gemella	1
P5D1-392	Veillonella	1
PAUC26f	Caldilinea	1
PLTA13	Acinetobacter	1
Paeniglutamicibacter	Micrococcus	1
Pajaroellobacter	Enhydrobacter	1
Palleronia-Pseudomaribius	Haematobacter	1
Paludicola	Catonella	1
Pannonibacter	Mesorhizobium	1
Pantoea	Klebsiella	1
Papillibacter	Clostridiales [F3 G1]	1
Parabacteroides	Alloprevotella	1
Parabacteroides	Prevotella	1
Parabacteroides	Tannerella	1
Parafilimonas	Segetibacter	1
Paraglaciecola	Cardiobacterium	1
Parahaliea	Aggregatibacter	1
Parasutterella	Schlegelella	1
Parvibacter	Olsenella	1
Parvibaculum	Haematobacter	1
Patulibacter	Anaerovoracaceae [G2]	1
Patulibacter	Kocuria	1
Pedomicrobium	Aquamicrobium	1
Pedosphaeraceae	Pseudomonas	1
Pedosphaeraceae	Selenomonas	1
Pelagibacterium	Mesorhizobium	1
Peptoclostridium	Parvimonas	1
Peptostreptococcus	Absconditicoccaceae [G1]	1
Peptostreptococcus	Clostridiales [F1 G1]	1
Peptostreptococcus	Fusobacterium	1
Peredibacter	Campylobacter	1
Perlucidibaca	Moraxella	1
Petrimonas	Lachnospiraceae [G7]	1
Petrimonas	Porphyromonas	1
Phascolarctobacterium	Abiotrophia	1
Phascolarctobacterium	Eggerthia	1
Phascolarctobacterium	Gemella	1
Phaselicystis	Desulfovibrio	1
Phenylobacterium	Brevundimonas	1
Planococcus	Staphylococcus	1
Planosporangium	Kocuria	1
Plantibacter	Microbacterium	1
Plasticicumulans	Cardiobacterium	1
Plesiomonas	Yersinia	1
Pluralibacter	Enterobacter	1
Polaromonas	Delftia	1
Pontibacter	Pedobacter	1
Porphyrobacter	Erythrobacter	1
Porphyromonas	Alloprevotella	1
Porphyromonas	Capnocytophaga	1
Porphyromonas	Odoribacteraceae [G3]	1
Porphyromonas	Prevotella	1
Porphyromonas	Pseudoleptotrichia	1
Porphyromonas	Riemerella	1
Porphyromonas	Segatella	1
Porphyromonas	Tannerella	1
Portibacter	Flavitalea	1
Prevotella	Capnocytophaga	1
Prevotella	Fusobacterium	1
Prevotella	Odoribacteraceae [G3]	1
Prevotella	Porphyromonas	1
Prevotellaceae	Alloprevotella	1
Prevotellaceae	Hoylesella	1
Prevotellaceae	Prevotella	1
Prevotellaceae_NK3B31_group	Segatella	1
Prevotellaceae_UCG-001	Segatella	1
Prevotellaceae_UCG-003	Porphyromonas	1
Prevotellaceae_UCG-004	Alloprevotella	1
Prevotellaceae_UCG-004	Bacteroides	1
Propionibacterium	Cutibacterium	1
Propionibacterium	Propionibacteriaceae [G1]	1
Prosthecobacter	Akkermansia	1
Proteiniclasticum	Clostridiales [F3 G1]	1
Proteiniphilum	Porphyromonas	1
Proteiniphilum	Tannerella	1
Pseudaminobacter	Mesorhizobium	1
Pseudobutyrivibrio	Agathobacter	1
Pseudoclavibacter	Microbacterium	1
Pseudoclostridium	Fastidiosipila	1
Pseudoflavitalea	Flavitalea	1
Pseudomonas	Veillonella	1
Pseudopedobacter	Pedobacter	1
Pseudorhodobacter	Rhodobacter	1
Pseudorhodoferax	Paenacidovorax	1
Psychroglaciecola	Afipia	1
Puia	Flavitalea	1
Pullulanibacillus	Enterococcus	1
Pygmaiobacter	Selenomonas	1
Quinella	Selenomonadaceae [G1]	1
Quinella	Selenomonas	1
RB41	Aggregatibacter	1
RB41	Lactobacillus	1
RF39	Anaerovoracaceae [G3]	1
RF39	Neisseria	1
RF39	Peptococcus	1
RF39	Pseudomonas	1
RF39	Schaalia	1
RF39	Treponema	1
Ramlibacter	Ottowia	1
Rheinheimera	Pseudomonas	1
Rhizobacter	Veillonella	1
Rhizorhapis	Sphingomonas	1
Rhodanobacter	Clostridiales [F3 G1]	1
Rhodococcus	Lawsonella	1
Rhodoluna	Microbacterium	1
Rhodopila	Roseomonas	1
Rhodothermaceae	Aggregatibacter	1
Rhodothermaceae	Desulfovibrio	1
Rickettsiella	Moraxella	1
Rikenellaceae	Alistipes	1
Rikenellaceae_RC9_gut_group	Odoribacteraceae [G7]	1
Rivicola	Ralstonia	1
Rokubacteriales	Neisseria	1
Romboutsia	Anaerovoracaceae [G3]	1
Roseburia	Stomatobaculum	1
Roseiarcus	Afipia	1
Roseobacter	Haematobacter	1
Rs-M59_termite_group	Campylobacter	1
Rubrobacter	Lancefieldella	1
Rudaea	Pseudomonas	1
Rufibacter	Prevotella	1
Ruminobacter	Tannerella	1
Ruminococcus	Alloprevotella	1
Ruminococcus	Enterococcus	1
Ruminococcus	Neisseria	1
Ruminococcus	Pseudoleptotrichia	1
Ruminococcus	Selenomonas	1
Ruminococcus	Streptococcus	1
Ruminofilibacter	Pedobacter	1
S0134_terrestrial_group	Corynebacterium	1
S0134_terrestrial_group	Olsenella	1
S085	Prevotella	1
SAR202_clade	Selenomonas	1
SAR324_clade(Marine_group_B)	Bdellovibrio	1
SAR324_clade(Marine_group_B)	Haematobacter	1
SAR324_clade(Marine_group_B)	Sphingomonas	1
SBR1031	Anaerovoracaceae [G3]	1
SBR1031	Clostridiales [F3 G1]	1
SHA-26	Olsenella	1
SHA-26	Pseudoramibacter	1
SM1A02	Leptothrix	1
SM2D12	Aquamicrobium	1
SM2D12	Enhydrobacter	1
SM2D12	Novosphingobium	1
SN8	Stenotrophomonas	1
SWB02	Afipia	1
Saccharibacillus	Paenibacillus	1
Saccharimonadaceae	Nanosynbacter	1
Saccharimonadales	Nanosyncoccus	1
Saccharomonospora	Mycobacterium	1
Salimicrobium	Enterococcus	1
Salinivibrio	Serratia	1
Sandaracinus	Erythrobacter	1
Sediminibacterium	Segetibacter	1
Selenomonadaceae	Mitsuokella	1
Sellimonas	Butyrivibrio	1
Sericytochromatia	Desulfovibrio	1
Serpentinicella	Anaerovoracaceae [G3]	1
Shinella	Agrobacterium	1
Sinibacillus	Abiotrophia	1
Skermanella	Aquamicrobium	1
Skermanella	Caulobacter	1
Skermanella	Oryzomicrobium	1
Slackia	Veillonella	1
Smithella	Desulfobulbus	1
Snodgrassella	Kingella	1
Solibacillus	Enterococcus	1
Sphaerobacter	Oryzomicrobium	1
Sphingoaurantiacus	Sphingomonas	1
Sphingobium	Erythrobacter	1
Sphingorhabdus	Novosphingobium	1
Sphingosinicella	Sphingomonas	1
Spirillospora	Kocuria	1
Spirochaeta_2	Treponema	1
Spiroplasma	Streptococcus	1
Sporichthya	Kocuria	1
Sporocytophaga	Pedobacter	1
Sporocytophaga	Weeksellaceae [G1]	1
Steroidobacteraceae	Veillonella	1
Stomatobaculum	Neisseria	1
Streptobacillus	Fusobacterium	1
Streptococcus	Absconditicoccaceae [G1]	1
Streptococcus	Lactobacillus	1
Streptococcus	Neisseria	1
Streptococcus	Odoribacteraceae [G3]	1
Streptomyces	Alloprevotella	1
Subdoligranulum	Selenomonas	1
Subdoligranulum	Stomatobaculum	1
Subdoligranulum	Streptococcus	1
Subgroup_10	Clostridiales [F1 G2]	1
Subgroup_10	Haematobacter	1
Subgroup_15	Clostridiales [F1 G2]	1
Subgroup_2	Kocuria	1
Subgroup_20	Selenomonas	1
Subgroup_21	Aggregatibacter	1
Subgroup_21	Anaerovoracaceae [G8]	1
Subgroup_22	Prevotella	1
Subgroup_22	Selenomonas	1
Subgroup_7	Caulobacter	1
Subgroup_7	Lachnoanaerobaculum	1
Succiniclasticum	Selenomonadaceae [G1]	1
Sulfurifustis	Porphyromonas	1
Sulfurospirillum	Campylobacter	1
Sva0485	Haematobacter	1
Synechococcus_IR11	Arthrospira	1
Synechococcus_PCC-7902	Arthrospira	1
Syntrophorhabdus	Desulfobulbus	1
TM7a	Saccharimonadales [F2 G1]	1
TM7a	Saccharimonas	1
TM7x	Saccharimonas	1
TRA3-20	Ralstonia	1
TX1A-55	Cardiobacterium	1
Tardiphaga	Bradyrhizobium	1
Temperatibacter	Novosphingobium	1
Tepidimicrobium	Peptoniphilaceae [G2]	1
Tepidiphilus	Oryzomicrobium	1
Terrabacter	Janibacter	1
Terrisporobacter	Anaerovoracaceae [G3]	1
Thermoanaerobacterium	Anaerovoracaceae [G8]	1
Thermobacillus	Paenibacillus	1
Thermomonospora	Actinomyces	1
Thermovirga	Fretibacterium	1
Thiobacillus	Neisseria	1
Thioclava	Haematobacter	1
Tissierella	Peptoniphilaceae [G2]	1
Treponema	Streptococcus	1
Tropicimonas	Erythrobacter	1
Truepera	Erythrobacter	1
Truepera	Olsenella	1
Truepera	Porphyromonas	1
Tumebacillus	Clostridiales [F3 G1]	1
U29-B03	Odoribacteraceae [G3]	1
UBA6140	Oryzomicrobium	1
UCG-002	Neisseria	1
UCG-002	Ruminococcaceae [G3]	1
UCG-002	Veillonella	1
UCG-003	Streptococcus	1
UCG-005	Aggregatibacter	1
UCG-005	Anaerovoracaceae [G3]	1
UCG-005	Catonella	1
UCG-005	Fusobacterium	1
UCG-005	Gemella	1
UCG-005	Neisseria	1
UCG-005	Pseudomonas	1
UCG-005	Streptococcus	1
UCG-010	Capnocytophaga	1
UCG-010	Neisseria	1
UCG-010	Peptoniphilaceae [G2]	1
UCG-011	Clostridiales [F3 G1]	1
UCG-012	Clostridiales [F3 G1]	1
UKL13-1	Aquamicrobium	1
UTBCD1	Flavitalea	1
UTCFX1	Selenomonas	1
Uliginosibacterium	Oryzomicrobium	1
Ulvibacter	Capnocytophaga	1
Undibacterium	Ralstonia	1
Unknown_Family	Pseudomonas	1
Varibaculum	Schaalia	1
Veillonella	Actinomyces	1
Veillonella	Gemella	1
Veillonella	Lachnospiraceae [G3]	1
Veillonella	Lancefieldella	1
Veillonella	Nanoperiomorbus	1
Veillonella	Neisseria	1
