Axis1	Axis2	sample_id	study	case
0.1981750507564409	-0.09828475679702664	Qian_2023__SRR22215007	Qian_2023	Case
0.2287540056323156	-0.266089470682389	Qian_2023__SRR22215008	Qian_2023	Control
-0.015999780771921834	0.10837198574157247	Qian_2023__SRR22215009	Qian_2023	Control
0.055812480149095726	0.18723679475095564	Qian_2023__SRR22215010	Qian_2023	Control
0.08900664376452046	0.18439831398981002	Qian_2023__SRR22215011	Qian_2023	Control
0.1953444312176049	0.1708333886514508	Qian_2023__SRR22215012	Qian_2023	Control
0.044996903665667144	0.006328857164397028	Qian_2023__SRR22215013	Qian_2023	Control
-0.04216958185431746	0.27017057317819154	Qian_2023__SRR22215014	Qian_2023	Control
-0.02030215362875991	-0.03719726238278233	Qian_2023__SRR22215015	Qian_2023	Control
0.10047572998054223	-0.06674435259957966	Qian_2023__SRR22215016	Qian_2023	Control
0.07682240255864872	0.08864960906166751	Qian_2023__SRR22215017	Qian_2023	Control
0.06447322271251558	0.15831292641368241	Qian_2023__SRR22215018	Qian_2023	Control
0.10539079645043714	-0.09311004169253986	Qian_2023__SRR22215019	Qian_2023	Control
0.10325645964496696	0.0147778810828034	Qian_2023__SRR22215020	Qian_2023	Control
0.13413747138398713	0.07152364786848449	Qian_2023__SRR22215021	Qian_2023	Control
0.275971736828907	-0.06818771153604668	Qian_2023__SRR22215022	Qian_2023	Control
0.26324156278765254	-0.15011907154562645	Qian_2023__SRR22215023	Qian_2023	Control
0.251963455827393	-0.24438118370584688	Qian_2023__SRR22215024	Qian_2023	Control
0.10490840629951816	0.2898708406277172	Qian_2023__SRR22215025	Qian_2023	Control
0.10837746072692611	-0.02923419736400122	Qian_2023__SRR22215026	Qian_2023	Control
-0.2656405798579311	0.09300336964580988	Qian_2023__SRR22215027	Qian_2023	Control
-0.1849152491272447	0.21527443839857568	Qian_2023__SRR22215028	Qian_2023	Control
0.21664103644381633	-0.3405674954087039	Qian_2023__SRR22215029	Qian_2023	Control
0.06186118327591379	-0.24692916007022028	Qian_2023__SRR22215030	Qian_2023	Control
0.17612195617373955	0.05201697313690945	Qian_2023__SRR22215031	Qian_2023	Control
-0.15364987509054384	-0.07478135700560838	Hao_2022__SRR18688581	Hao_2022	Control
-0.12049111551410147	-0.32450193307693176	Hao_2022__SRR18688582	Hao_2022	Control
-0.44606181564640074	0.07935181100510882	Hao_2022__SRR18688584	Hao_2022	Case
-0.431209626135224	0.031262472329203934	Hao_2022__SRR18688585	Hao_2022	Case
-0.503529363725043	0.054006982583358475	Hao_2022__SRR18688588	Hao_2022	Case
-0.447754156623123	0.010119706878322336	Hao_2022__SRR18688589	Hao_2022	Case
-0.5604692575713551	0.06735539236762964	Hao_2022__SRR18688593	Hao_2022	Case
-0.5769699924104775	0.027872247490217834	Hao_2022__SRR18688594	Hao_2022	Case
-0.3739477117319956	-0.12465507814110459	Hao_2022__SRR18688597	Hao_2022	Case
-0.19699769174653334	-0.21667032479101972	Hao_2022__SRR18688598	Hao_2022	Case
-0.2644377443785144	-0.18180393253651303	Hao_2022__SRR18688601	Hao_2022	Case
0.09617507757777517	-0.2763418046084731	Hao_2022__SRR18688602	Hao_2022	Case
-0.2478303558837508	-0.09421244406152833	Hao_2022__SRR18688603	Hao_2022	Case
-0.3758956674143928	-0.11564224875143535	Hao_2022__SRR18688606	Hao_2022	Case
-0.31543293440574555	-0.16102838624951926	Hao_2022__SRR18688607	Hao_2022	Case
-0.0886164076770821	-0.3131302503426243	Hao_2022__SRR18688610	Hao_2022	Control
-0.06460144779179416	-0.279336457829107	Hao_2022__SRR18688611	Hao_2022	Control
-0.20779345264674992	-0.1374096632175412	Hao_2022__SRR18688614	Hao_2022	Case
-0.19200064800047764	-0.12402861785952142	Hao_2022__SRR18688615	Hao_2022	Control
-0.2731080965578984	-0.1660806631842974	Hao_2022__SRR18688616	Hao_2022	Control
-0.17941065364755462	-0.2602227748804961	Hao_2022__SRR18688619	Hao_2022	Control
-0.525075098555483	-0.07145008068767289	Hao_2022__SRR18688620	Hao_2022	Control
-0.29182338525351215	-0.0792497216189693	Hao_2022__SRR18688623	Hao_2022	Case
-0.3448083569484175	-0.09799869592607414	Hao_2022__SRR18688624	Hao_2022	Case
