feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
g__Sneathia	group	GERD	-0.719250991537943	0.815169792935622	26	6	0.386349126392113	0.906914482027349	Ziganshina_2020	GERD
g__Leptotrichia	group	GERD	1.17913600105311	0.68615972706585	26	26	0.0985892475760385	0.906914482027349	Ziganshina_2020	GERD
g__Pseudoleptotrichia	group	GERD	-1.09356061968293	0.791043248208997	26	26	0.179570761112986	0.906914482027349	Ziganshina_2020	GERD
g__Lachnoanaerobaculum	group	GERD	0.264354038256175	0.420667597369325	26	26	0.535666987506448	0.906914482027349	Ziganshina_2020	GERD
g__Lachnospiraceae..G3.	group	GERD	0.422231308377179	0.627896567242038	26	7	0.507718045189028	0.906914482027349	Ziganshina_2020	GERD
g__Lachnospiraceae..G2.	group	GERD	1.24955510670771	0.9821488701822	26	18	0.215467591471233	0.906914482027349	Ziganshina_2020	GERD
g__Peptoanaerobacter	group	GERD	-0.477885116825292	0.823288794441797	26	15	0.567016166639181	0.906914482027349	Ziganshina_2020	GERD
g__Filifactor	group	GERD	0.289038935183234	0.981414757427861	26	15	0.770898678443949	0.906914482027349	Ziganshina_2020	GERD
g__Peptostreptococcus	group	GERD	-1.03861669583339	0.558450020986426	26	26	0.0752114828964165	0.906914482027349	Ziganshina_2020	GERD
g__Hornefia	group	GERD	0.572192763840987	0.34155922491208	26	5	0.106870130766021	0.906914482027349	Ziganshina_2020	GERD
g__Gallibacter	group	GERD	-0.245674540893671	0.636251497645321	26	11	0.702803706295198	0.906914482027349	Ziganshina_2020	GERD
g__Anaerovoracaceae..G2.	group	GERD	-0.707448353413284	0.448438366726895	26	6	0.127752809109528	0.906914482027349	Ziganshina_2020	GERD
g__Anaerovoracaceae..G4.	group	GERD	-0.109371205811301	0.349336055609547	26	6	0.756922119808687	0.906914482027349	Ziganshina_2020	GERD
g__Anaerovoracaceae..G1.	group	GERD	-0.567636323456799	0.596275907586709	26	25	0.350602283293819	0.906914482027349	Ziganshina_2020	GERD
g__Mogibacterium	group	GERD	-0.848617533422601	0.679554884311339	26	25	0.223788127107474	0.906914482027349	Ziganshina_2020	GERD
