study	Ziganshina_2020	Qian_2023	Hao_2022	Kawar_2021	Zheng_2024	Li_2025	Tang_2023
Ziganshina_2020	107	101	72	95	97	80	70
Qian_2023	101	156	89	101	144	83	74
Hao_2022	72	89	110	75	102	68	61
Kawar_2021	95	101	75	124	112	77	67
Zheng_2024	97	144	102	112	224	85	76
Li_2025	80	83	68	77	85	88	62
Tang_2023	70	74	61	67	76	62	76
