feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
Unclassified_NA.1	group	GERD	-0.496375992268885	0.259944157374155	26	3	0.0682156290093536	0.871643985471175	Ziganshina_2020	GERD
Unclassified_f__Saccharimonadaceae	group	GERD	-1.28163481950465	0.646002008549876	26	6	0.0588119146523396	0.871643985471175	Ziganshina_2020	GERD
g__Scardovia	group	GERD	-1.0881470917117	0.50432047051003	26	7	0.0411806962336346	0.871643985471175	Ziganshina_2020	GERD
g__F0332	group	GERD	-1.21248927852342	0.704431826363986	26	8	0.0980770284756013	0.871643985471175	Ziganshina_2020	GERD
g__Actinomyces	group	GERD	0.538197113432923	0.346462572590721	26	26	0.133414895735384	0.871643985471175	Ziganshina_2020	GERD
g__Mobiluncus	group	GERD	1.05139650612764	0.656621178357486	26	11	0.122409791598061	0.871643985471175	Ziganshina_2020	GERD
g__Centipeda	group	GERD	-0.688129606340283	0.435312347971329	26	8	0.127020761742596	0.871643985471175	Ziganshina_2020	GERD
g__Stomatobaculum	group	GERD	0.970822536214388	0.359308429284383	26	25	0.0124517503004797	0.871643985471175	Ziganshina_2020	GERD
g__Butyrivibrio	group	GERD	1.73924512746378	0.86514537343315	26	20	0.0557608414827297	0.871643985471175	Ziganshina_2020	GERD
g__Leptotrichia	group	GERD	0.748702460429615	0.471612428990036	26	26	0.125479660671324	0.871643985471175	Ziganshina_2020	GERD
g__Peptostreptococcus	group	GERD	-1.03892240437667	0.55849100361162	26	26	0.0751512122732541	0.871643985471175	Ziganshina_2020	GERD
g__Family_XIII_UCG.001	group	GERD	-0.707828123930933	0.44844726642278	26	6	0.127565321461516	0.871643985471175	Ziganshina_2020	GERD
g__Capnocytophaga	group	GERD	-1.02617722314297	0.642343197323786	26	25	0.123226771877245	0.871643985471175	Ziganshina_2020	GERD
g__Bergeyella	group	GERD	-1.33522061565323	0.846632843523411	26	23	0.127864852607293	0.871643985471175	Ziganshina_2020	GERD
g__Porphyromonas	group	GERD	-1.13718662879893	0.61858546631201	26	26	0.078417103226934	0.871643985471175	Ziganshina_2020	GERD
g__Gemella	group	GERD	-0.881710314686796	0.58709523398695	26	26	0.146187887113938	0.890463468874023	Ziganshina_2020	GERD
g__.Eubacterium._yurii_group	group	GERD	-0.720473211242225	0.490015540576327	26	11	0.154468152763861	0.890463468874023	Ziganshina_2020	GERD
g__JGI_0000069.P22	group	GERD	-0.313093450011739	0.605058378209652	26	12	0.609572035600882	0.938732399765978	Ziganshina_2020	GERD
g__Treponema	group	GERD	-0.470090790744221	1.04749475322094	26	19	0.657619004701246	0.938732399765978	Ziganshina_2020	GERD
g__Candidatus_Saccharimonas	group	GERD	0.348744479672203	0.592458680125483	26	25	0.561602894877381	0.938732399765978	Ziganshina_2020	GERD
g__Saccharimonadales	group	GERD	-0.658693475955031	1.04015634480123	26	26	0.532549974159233	0.938732399765978	Ziganshina_2020	GERD
g__Saccharimonadaceae	group	GERD	-0.438911995134398	1.13293520371476	26	21	0.701866078839168	0.938732399765978	Ziganshina_2020	GERD
g__TM7x	group	GERD	0.486337927363847	0.781878403568178	26	26	0.53979854099021	0.938732399765978	Ziganshina_2020	GERD
g__Pseudopropionibacterium	group	GERD	-0.889931268332538	0.803183000410519	26	10	0.27884044344076	0.938732399765978	Ziganshina_2020	GERD
g__Corynebacterium	group	GERD	-0.289153662830881	0.74828333363772	26	24	0.702588382060459	0.938732399765978	Ziganshina_2020	GERD
g__Alloscardovia	group	GERD	0.591595056611617	0.644284888557692	26	4	0.367640227377522	0.938732399765978	Ziganshina_2020	GERD
g__Bifidobacterium	group	GERD	0.20680868117173	0.258024192956198	26	3	0.430701633018612	0.938732399765978	Ziganshina_2020	GERD
g__Atopobium	group	GERD	0.657302144997657	0.467741389680405	26	26	0.172754459363337	0.938732399765978	Ziganshina_2020	GERD
g__Slackia	group	GERD	0.431267235958681	0.56216539709532	26	12	0.450471650417616	0.938732399765978	Ziganshina_2020	GERD
g__Olsenella	group	GERD	-0.224911923415365	0.343140574519497	26	6	0.518411397471389	0.938732399765978	Ziganshina_2020	GERD
g__Selenomonas	group	GERD	0.498926122752046	0.663926870718346	26	26	0.459671511488236	0.938732399765978	Ziganshina_2020	GERD
Unclassified_f__Selenomonadaceae	group	GERD	-0.313141337231424	0.703754821535362	26	10	0.660337334881868	0.938732399765978	Ziganshina_2020	GERD
g__uncultured	group	GERD	0.454059069252099	0.560165391500603	26	6	0.425571968027576	0.938732399765978	Ziganshina_2020	GERD
g__Megasphaera	group	GERD	0.785412868282777	0.655840808509665	26	25	0.242780275217779	0.938732399765978	Ziganshina_2020	GERD
