feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
HEME-BIOSYNTHESIS-II	group	GERD	-0.0387496134370806	0.0642893341395956	26	26	0.552336486138578	0.90197076167089	Ziganshina_2020	GERD
HEXITOLDEGSUPER-PWY	group	GERD	0.165905197647588	0.15322505844709	26	26	0.289676143502684	0.90197076167089	Ziganshina_2020	GERD
HISDEG-PWY	group	GERD	-0.238138533498607	0.164674608614419	26	26	0.161078689003927	0.90197076167089	Ziganshina_2020	GERD
HISTSYN-PWY	group	GERD	0.24517066477463	0.121451501019861	26	26	0.0548286842838601	0.90197076167089	Ziganshina_2020	GERD
HOMOSER-METSYN-PWY	group	GERD	0.0497110019625971	0.0786524847577043	26	26	0.533340099445261	0.90197076167089	Ziganshina_2020	GERD
HSERMETANA-PWY	group	GERD	0.0723221904891848	0.0690242878496137	26	26	0.305178329487524	0.90197076167089	Ziganshina_2020	GERD
ILEUSYN-PWY	group	GERD	0.103283530603809	0.044963155056103	26	26	0.0306419520395996	0.90197076167089	Ziganshina_2020	GERD
KDO-NAGLIPASYN-PWY	group	GERD	-0.215665638882593	0.278577562613977	26	26	0.44639169656094	0.90197076167089	Ziganshina_2020	GERD
LACTOSECAT-PWY	group	GERD	0.211052938462007	0.247863726959798	26	26	0.402914925277473	0.90197076167089	Ziganshina_2020	GERD
MET-SAM-PWY	group	GERD	0.038449910369512	0.051269814494527	26	26	0.460572616850619	0.90197076167089	Ziganshina_2020	GERD
METHYLGALLATE-DEGRADATION-PWY	group	GERD	0.583288659244084	0.589916510741068	26	6	0.33264267259919	0.90197076167089	Ziganshina_2020	GERD
NAD-BIOSYNTHESIS-II	group	GERD	0.302206128159501	0.244473435062525	26	26	0.228364485544531	0.90197076167089	Ziganshina_2020	GERD
NADSYN-PWY	group	GERD	-0.32731354873923	0.282116856987699	26	3	0.257376835284857	0.90197076167089	Ziganshina_2020	GERD
NONMEVIPP-PWY	group	GERD	-0.0234353264976597	0.0494673744635371	26	26	0.639957281138675	0.90197076167089	Ziganshina_2020	GERD
NONOXIPENT-PWY	group	GERD	0.0192736834122904	0.0317881720094864	26	26	0.54999731691219	0.90197076167089	Ziganshina_2020	GERD
OANTIGEN-PWY	group	GERD	0.0297472672430288	0.0235341149871673	26	26	0.218367090555286	0.90197076167089	Ziganshina_2020	GERD
P105-PWY	group	GERD	-0.473521726768735	0.75035963636271	26	26	0.533965836958126	0.90197076167089	Ziganshina_2020	GERD
P108-PWY	group	GERD	-0.174134167593586	0.111434384576451	26	26	0.131223442395582	0.90197076167089	Ziganshina_2020	GERD
P122-PWY	group	GERD	0.197603189170931	0.198496887236168	26	26	0.329425934943304	0.90197076167089	Ziganshina_2020	GERD
P124-PWY	group	GERD	0.217890805370243	0.197900501260094	26	26	0.281811874665777	0.90197076167089	Ziganshina_2020	GERD
P125-PWY	group	GERD	0.133872598007009	0.236681959113299	26	26	0.576900983641003	0.90197076167089	Ziganshina_2020	GERD
P162-PWY	group	GERD	-0.146437843350226	0.337620017692564	26	26	0.668354336289935	0.90197076167089	Ziganshina_2020	GERD
P163-PWY	group	GERD	-0.322098782830576	0.47747479813525	26	26	0.50638437819881	0.90197076167089	Ziganshina_2020	GERD
P164-PWY	group	GERD	0.116215820037612	0.262093017240807	26	26	0.661437615815674	0.90197076167089	Ziganshina_2020	GERD
P184-PWY	group	GERD	0.47679436881456	0.597774301594321	26	5	0.43291457486134	0.90197076167089	Ziganshina_2020	GERD
P221-PWY	group	GERD	0.19874212349389	0.382823738021356	26	26	0.608412321678177	0.90197076167089	Ziganshina_2020	GERD
P281-PWY	group	GERD	0.639592931066233	0.602300295821301	26	6	0.298842806345312	0.90197076167089	Ziganshina_2020	GERD
P341-PWY	group	GERD	-0.754009293238987	0.801480577345151	26	14	0.356195874510995	0.90197076167089	Ziganshina_2020	GERD
P381-PWY	group	GERD	-0.118424537742376	0.157035770284982	26	3	0.458110209778387	0.90197076167089	Ziganshina_2020	GERD
P4-PWY	group	GERD	0.0644843449422421	0.0312668837050825	26	26	0.0501552861216954	0.90197076167089	Ziganshina_2020	GERD
P441-PWY	group	GERD	0.0248589183572589	0.0560247117912641	26	26	0.661224393357766	0.90197076167089	Ziganshina_2020	GERD
P461-PWY	group	GERD	0.153928867397037	0.232763101700035	26	26	0.514711890664759	0.90197076167089	Ziganshina_2020	GERD
P562-PWY	group	GERD	0.437226767752524	0.309870785013232	26	26	0.171077441611091	0.90197076167089	Ziganshina_2020	GERD
PANTO-PWY	group	GERD	-0.0454070649068364	0.059278070133974	26	26	0.451144270187108	0.90197076167089	Ziganshina_2020	GERD
PANTOSYN-PWY	group	GERD	-0.0333391222698399	0.0432814879187225	26	26	0.44864676690822197	0.90197076167089	Ziganshina_2020	GERD
PEPTIDOGLYCANSYN-PWY	group	GERD	-0.0208601128205849	0.0241134566256244	26	26	0.395558894454897	0.90197076167089	Ziganshina_2020	GERD
PHOSLIPSYN-PWY	group	GERD	-0.0277203707164072	0.0277548273035456	26	26	0.327875740005926	0.90197076167089	Ziganshina_2020	GERD
POLYAMINSYN3-PWY	group	GERD	-0.21884236688121	0.293135692542705	26	26	0.462582423238484	0.90197076167089	Ziganshina_2020	GERD
POLYAMSYN-PWY	group	GERD	0.19905775092382	0.183954946846146	26	26	0.28996093685176	0.90197076167089	Ziganshina_2020	GERD
POLYISOPRENSYN-PWY	group	GERD	-0.0630775700499259	0.0291986839092434	26	26	0.0409541408568321	0.90197076167089	Ziganshina_2020	GERD
PPGPPMET-PWY	group	GERD	-0.252926209266289	0.260091756175723	26	26	0.340526510332638	0.90197076167089	Ziganshina_2020	GERD
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	group	GERD	-0.572698386836974	0.522930983272662	26	9	0.284311333605957	0.90197076167089	Ziganshina_2020	GERD
PRPP-PWY	group	GERD	0.0222220977401608	0.0424959078210438	26	26	0.605822226303084	0.90197076167089	Ziganshina_2020	GERD
PWY-181	group	GERD	-0.307018671884993	0.267914769939985	26	3	0.263111298452027	0.90197076167089	Ziganshina_2020	GERD
PWY-2941	group	GERD	0.11432800732848	0.129286598887869	26	26	0.385308307238121	0.90197076167089	Ziganshina_2020	GERD
PWY-2942	group	GERD	0.028496976995308	0.030250184742089	26	26	0.355557252287455	0.90197076167089	Ziganshina_2020	GERD
PWY-3001	group	GERD	0.0676540088123422	0.033637390503982	26	26	0.0556566617943096	0.90197076167089	Ziganshina_2020	GERD
