feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__F0332	group	LPRD	0.508814081627358	0.168214490359329	151	26	0.00293111129166443	0.0263800016249798
g__Lachnospiraceae_UCG.006	group	LPRD	-0.599717200681435	0.198654345942654	151	26	0.00298535042778573	0.0263967827298949
g__Subdoligranulum	group	LPRD	1.13125372625409	0.379729332176831	151	37	0.0033763209840018	0.02884179281249
g__Alcaligenes	group	LPRD	-0.649266624911143	0.217850417477903	151	32	0.00336359527969044	0.02884179281249
g__Family_XIII_UCG.001	group	LPRD	0.791461919342352	0.270092339655793	151	82	0.00391952261621769	0.0329239899762286
g__Anaerostipes	group	LPRD	0.970370765173666	0.33328229141036	151	33	0.00414928452016276	0.0342826130846234
g__Peptostreptococcus	group	LPRD	0.659490367566225	0.229752598933849	151	151	0.00469607131744825	0.0381745152257084
Unclassified_f__Veillonellaceae	group	LPRD	-0.627436433933892	0.222507811107195	151	25	0.00545897531772689	0.0436718025418151
g__.Eubacterium._siraeum_group	group	LPRD	0.874447286289856	0.311825411725017	151	17	0.00571528534004555	0.0450078720528587
g__Dorea	group	LPRD	0.859106453924989	0.307485665276226	151	35	0.00589120262064817	0.0450206161011979
g__JG30.KF.CM66	group	LPRD	0.683438139067517	0.245083365106937	151	40	0.00598488348964337	0.0450206161011979
g__uncultured.142	group	LPRD	0.553293631582075	0.198384495710494	151	29	0.00597783804774392	0.0450206161011979
Unclassified_f__Saccharimonadaceae	group	LPRD	-0.513523485801388	0.186812378038598	151	48	0.00671990778449244	0.0498063753438851
g__Antarcticibacterium	group	LPRD	-0.444274251127439	0.163079975216494	151	16	0.00721529353613778	0.0527030136552673
g__Lachnospiraceae_UCG.010	group	LPRD	0.563301003621039	0.209629966927695	151	20	0.00802634785137472	0.0571797497387271
g__Alysiella	group	LPRD	-1.22058967571711	0.454448919971706	151	104	0.00805508379255878	0.0571797497387271
g__Lachnospiraceae_NK4A136_group	group	LPRD	1.12623408574087	0.422090668444043	151	68	0.00846965557414637	0.0592875890190246
g__TM7x	group	LPRD	-0.777230414453272	0.294044150709808	151	149	0.00908982608295211	0.0627571554220255
Unclassified_f__Rhodanobacteraceae	group	LPRD	-0.574114383273593	0.222970945324707	151	28	0.011002684001886	0.0749371991479805
g__uncultured.152	group	LPRD	-1.32827217362866	0.521750390806221	151	54	0.0119186948307405	0.0800936292625765
g__Cohnella	group	LPRD	-0.673241749935416	0.26511317614081	151	32	0.012127866524772	0.0804269043221722
g__Prevotellaceae	group	LPRD	-0.421207884036602	0.169601844228109	151	25	0.014117395172457	0.0924047684015364
g__Mitochondria	group	LPRD	0.610978137757902	0.247490049120383	151	30	0.0146907302038092	0.0949247182399976
g__Candidatus_Soleaferrea	group	LPRD	-0.35495785322131	0.144197486240737	151	22	0.0149723724023501	0.0955199454529679
g__.Eubacterium._saphenum_group	group	LPRD	0.688875702174794	0.280815062537354	151	60	0.015315588066391	0.0964882048182631
g__UBA1819	group	LPRD	-0.463984735527968	0.189761240744944	151	43	0.0156471146641672	0.0973598245770401
g__uncultured.27	group	LPRD	1.22178179982489	0.506526461187979	151	74	0.0170779413703908	0.104958557521004
g__Bergeyella	group	LPRD	0.852247464077743	0.353995525854231	151	138	0.0172848418139748	0.104958557521004
g__Ileibacterium	group	LPRD	-1.00877122455535	0.423688566852907	151	55	0.0185330077588106	0.111198046552864
g__Desulfovibrio	group	LPRD	-0.726053540630525	0.307357680854552	151	44	0.0194572921576804	0.11537029702907
g__Lachnospira	group	LPRD	0.537151689331374	0.229937074251529	151	21	0.0208198423522381	0.122013959831721
g__PB19	group	LPRD	0.256095678407179	0.109970032605559	151	16	0.0212149649347127	0.122900486518336
g__Monoglobus	group	LPRD	0.989470000035552	0.427568717412185	151	70	0.022024521355007	0.126140440487768
g__Gracilibacteria	group	LPRD	0.571207765793621	0.24966051261473	151	28	0.023547982586745	0.133350373300219
g__Pseudopropionibacterium	group	LPRD	-0.422394261277902	0.185656112672533	151	33	0.0243237791211977	0.134716315132788
Unclassified_NA.17	group	LPRD	0.384338667296731	0.168916063297816	151	30	0.02431270709385	0.134716315132788
g__Nitriliruptoraceae	group	LPRD	0.368539552699173	0.165906905147899	151	32	0.0278344806856084	0.150771345768089
g__Mycoplasma	group	LPRD	0.778684315434552	0.350587792619073	151	81	0.027853949445042	0.150771345768089
g__Chloroplast	group	LPRD	0.881983394247352	0.398548669781952	151	97	0.0284192020793025	0.150771345768089
